area_acres,area_square_km,coordinates_latitude,coordinates_longitude,date_established_readable,date_established_unix,description,image_url,image_attribution,image_attribution_url,nps_link,states,title,id,visitors,world_heritage_site,coordinates_location
46766.45,189.3,32.17,-104.44,1930-05-14,-1250794800,"Carlsbad Caverns has 117 caves, the longest of which is over 120 miles (190 km) long. The Big Room is almost 4,000 feet (1,200 m) long, and the caves are home to over 400,000 Mexican free-tailed bats and sixteen other species. Above ground are the Chihuahuan Desert and Rattlesnake Springs.",carlsbad-caverns.jpg,PixelBay/@MartinStr,https://pixabay.com/en/users/MartinStr-108372/,https://www.nps.gov/cave/index.htm,"[{""id"":""state_new-mexico"",""title"":""New Mexico""}]",Carlsbad Caverns,park_carlsbad-caverns,466773,true,POINT(-104.44 32.17)
249561.00,1009.9,34.01,-119.42,1980-03-05,321084000,"Five of the eight Channel Islands are protected, and half of the park's area is underwater. The islands have a unique Mediterranean ecosystem originally settled by the Chumash people. They are home to over 2,000 species of land plants and animals, and 145 are unique to them, including the island fox. Ferry services offer transportation to the islands from the mainland.",channel-islands.jpg,NPS,https://www.nps.gov,https://www.nps.gov/chis/index.htm,"[{""id"":""state_california"",""title"":""California""}]",Channel Islands,park_channel-islands,364807,false,POINT(-119.42 34.01)
26275.82,106.3,33.78,-80.78,2003-11-10,1068444000,"On the Congaree River, this park is the largest portion of old-growth floodplain forest left in North America. Some of the trees are the tallest in the eastern United States. An elevated walkway called the Boardwalk Loop guides visitors through the swamp.",congaree.jpg,NPS,https://www.nps.gov,https://www.nps.gov/cong/index.htm,"[{""id"":""state_south-carolina"",""title"":""South Carolina""}]",Congaree,park_congaree,143843,false,POINT(-80.78 33.78)
183224.05,741.5,42.94,-122.1,1902-05-22,-2133716400,"Crater Lake lies in the caldera of an ancient volcano called Mount Mazama that collapsed 7,700 years ago. It is the deepest lake in the United States and is noted for its vivid blue color and water clarity. There are two more recent volcanic islands in the lake, and, with no inlets or outlets, all water comes through precipitation.",crater-lake.jpg,PixelBay/@12019,https://pixabay.com/en/users/12019-12019/,https://www.nps.gov/crla/index.htm,"[{""id"":""state_oregon"",""title"":""Oregon""}]",Crater Lake,park_crater-lake,756344,false,POINT(-122.1 42.94)
32572.35,131.8,41.24,-81.55,2000-10-11,971240400,"This park along the Cuyahoga River has waterfalls, hills, trails, and exhibits on early rural living. The Ohio and Erie Canal Towpath Trail follows the Ohio and Erie Canal, where mules towed canal boats. The park has numerous historic homes, bridges, and structures, and also offers a scenic train ride.",cuyahoga-valley.jpg,NPS,https://www.nps.gov,https://www.nps.gov/cuva/index.htm,"[{""id"":""state_ohio"",""title"":""Ohio""}]",Cuyahoga Valley,park_cuyahoga-valley,2423390,false,POINT(-81.55 41.24)
3373063.14,13650.3,36.24,-116.82,1994-10-31,783583200,"Death Valley is the hottest, lowest, and driest place in the United States. Daytime temperatures have topped 130 °F (54 °C) and it is home to Badwater Basin, the lowest elevation in North America. The park contains canyons, badlands, sand dunes, and mountain ranges, while more than 1000 species of plants grow in this geologic graben. Additional points of interest include salt flats, historic mines, and springs.",death-valley.jpg,PixelBay/@esudroff,https://pixabay.com/en/users/esudroff-627167/,https://www.nps.gov/deva/index.htm,"[{""id"":""state_california"",""title"":""California""},{""id"":""state_nevada"",""title"":""Nevada""}]",Death Valley,park_death-valley,1296283,false,POINT(-116.82 36.24)
4740911.16,19185.8,63.33,-150.5,1917-02-26,-1667671200,"Centered on Denali, the tallest mountain in North America, Denali is serviced by a single road leading to Wonder Lake. Denali and other peaks of the Alaska Range are covered with long glaciers and boreal forest. Wildlife includes grizzly bears, Dall sheep, caribou, and gray wolves.",denali.jpg,PixelBay/@MarPockStudios,https://pixabay.com/en/users/MarPockStudios-3375534/,https://www.nps.gov/dena/index.htm,"[{""id"":""state_alaska"",""title"":""Alaska""}]",Denali,park_denali,587412,false,POINT(-150.5 63.33)
64701.22,261.8,24.63,-82.87,1992-10-26,720079200,"The islands of the Dry Tortugas, at the westernmost end of the Florida Keys, are the site of Fort Jefferson, a Civil War-era fort that is the largest masonry structure in the Western Hemisphere. With most of the park being remote ocean, it is home to undisturbed coral reefs and shipwrecks and is only accessible by plane or boat.",dry-tortugas.jpg,Homestead AFRC,http://www.homestead.afrc.af.mil/News/Photos/igphoto/2000830258/,https://www.nps.gov/drto/index.htm,"[{""id"":""state_florida"",""title"":""Florida""}]",Dry Tortugas,park_dry-tortugas,73661,false,POINT(-82.87 24.63)
1508968.1,6106.6,25.32,-80.93,1934-05-30,-1123182000,"The Everglades are the largest tropical wilderness in the United States. This mangrove and tropical rainforest ecosystem and marine estuary is home to 36 protected species, including the Florida panther, American crocodile, and West Indian manatee. Some areas have been drained and developed; restoration projects aim to restore the ecology.",everglades.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/,https://www.nps.gov/ever/index.htm,"[{""id"":""state_florida"",""title"":""Florida""}]",Everglades,park_everglades,930907,true,POINT(-80.93 25.32)
7523897.45,30448.1,67.78,-153.3,1980-12-02,344584800,"The country's northernmost park protects an expanse of pure wilderness in Alaska's Brooks Range and has no park facilities. The land is home to Alaska Natives who have relied on the land and caribou for 11,000 years.",gates-of-the-arctic.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/,https://www.nps.gov/gaar/index.htm,"[{""id"":""state_alaska"",""title"":""Alaska""}]",Gates of the Arctic,park_gates-of-the-arctic,10047,false,POINT(-153.3 67.78)
1013128.94,4100.0,48.8,-114,1910-05-11,-1882206000,"The U.S. half of Waterton-Glacier International Peace Park, this park includes 26 glaciers and 130 named lakes surrounded by Rocky Mountain peaks. There are historic hotels and a landmark road called the Going-to-the-Sun Road in this region of rapidly receding glaciers. The local mountains, formed by an overthrust, expose Paleozoic fossils including trilobites, mollusks, giant ferns and dinosaurs.",glacier.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/,https://www.nps.gov/glac/index.htm,"[{""id"":""state_montana"",""title"":""Montana""}]",Glacier,park_glacier,2946681,true,POINT(-114 48.8)
3223383.43,13044.6,58.5,-137,1980-12-02,344584800,"Glacier Bay contains tidewater glaciers, mountains, fjords, and a temperate rainforest, and is home to large populations of grizzly bears, mountain goats, whales, seals, and eagles. When discovered in 1794 by George Vancouver, the entire bay was covered by ice, but the glaciers have since receded more than 65 miles (105 km).",glacier-bay.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/,https://www.nps.gov/glba/index.htm,"[{""id"":""state_alaska"",""title"":""Alaska""}]",Glacier Bay,park_glacier-bay,520171,true,POINT(-137 58.5)
1201647.03,4862.9,36.06,-112.14,1919-02-26,-1604599200,"The Grand Canyon, carved by the mighty Colorado River, is 277 miles (446 km) long, up to 1 mile (1.6 km) deep, and up to 15 miles (24 km) wide. Millions of years of erosion have exposed the multicolored layers of the Colorado Plateau in mesas and canyon walls, visible from both the north and south rims, or from a number of trails that descend into the canyon itself.",grand-canyon.jpg,PixelBay/@BKD,https://pixabay.com/en/users/BKD-1006949/,https://www.nps.gov/grca/index.htm,"[{""id"":""state_arizona"",""title"":""Arizona""}]",Grand Canyon,park_grand-canyon,5969811,true,POINT(-112.14 36.06)
310043.96,1254.7,43.73,-110.8,1929-02-26,-1288980000,"Grand Teton is the tallest mountain in the Teton Range. The park's historic Jackson Hole and reflective piedmont lakes teem with endemic wildlife, with a backdrop of craggy mountains that rise abruptly from the sage-covered valley.",grand-teton.jpg,PixelBay/@12019,https://pixabay.com/en/users/12019-12019/,https://www.nps.gov/grte/index.htm,"[{""id"":""state_wyoming"",""title"":""Wyoming""}]",Grand Teton,park_grand-teton,3270076,false,POINT(-110.8 43.73)
77180.00,312.3,38.98,-114.3,1986-10-27,530776800,"Based around Nevada's second tallest mountain, Wheeler Peak, Great Basin National Park contains 5,000-year-old bristlecone pines, a rock glacier, and the limestone Lehman Caves. Due to its remote location, the park has some of the country's darkest night skies. Wildlife includes the Townsend's big-eared bat, pronghorn, and Bonneville cutthroat trout.",great-basin.jpg,PixelBay/@vmalysova0,https://pixabay.com/en/users/vmalysova0-695458/,https://www.nps.gov/grba/index.htm,"[{""id"":""state_nevada"",""title"":""Nevada""}]",Great Basin,park_great-basin,144846,false,POINT(-114.3 38.98)
107341.87,434.4,37.73,-105.51,2004-09-13,1095051600,"The tallest sand dunes in North America, up to 750 feet (230 m) tall, were formed by deposits of the ancient Rio Grande in the San Luis Valley. Abutting a variety of grasslands, shrublands, and wetlands, the park also has alpine lakes, six 13,000-foot mountains, and old-growth forests.",great-sand-dunes.jpg,PixelBay/@12019,https://pixabay.com/en/users/12019-12019/,https://www.nps.gov/grsa/index.htm,"[{""id"":""state_colorado"",""title"":""Colorado""}]",Great Sand Dunes,park_great-sand-dunes,388308,false,POINT(-105.51 37.73)
522426.88,2114.2,35.68,-83.53,1934-06-15,-1121799600,"The Great Smoky Mountains, part of the Appalachian Mountains, span a wide range of elevations, making them home to over 400 vertebrate species, 100 tree species, and 5000 plant species. Hiking is the park's main attraction, with over 800 miles (1,300 km) of trails, including 70 miles (110 km) of the Appalachian Trail. Other activities include fishing, horseback riding, and touring nearly 80 historic structures.",great-smoky-mountains.jpg,PixelBay/@Broesis,https://pixabay.com/en/users/Broesis-5213623/,https://www.nps.gov/grsm/index.htm,"[{""id"":""state_tennessee"",""title"":""Tennessee""},{""id"":""state_north-carolina"",""title"":""North Carolina""}]",Great Smoky Mountains,park_great-smoky-mountains,11312786,true,POINT(-83.53 35.68)
86367.10,349.5,31.92,-104.87,1966-10-15,-101415600,"This park contains Guadalupe Peak, the highest point in Texas, as well as the scenic McKittrick Canyon filled with bigtooth maples, a corner of the arid Chihuahuan Desert, and a fossilized coral reef from the Permian era.",guadalupe-mountains.jpg,NPS,https://www.nps.gov,https://www.nps.gov/gumo/index.htm,"[{""id"":""state_texas"",""title"":""Texas""}]",Guadalupe Mountains,park_guadalupe-mountains,181839,false,POINT(-104.87 31.92)
33264.62,134.6,20.72,-156.17,1916-08-01,-1685732400,"The Haleakala volcano on Maui features a very large crater with numerous cinder cones, Hosmer's Grove of alien trees, the Kipahulu section's scenic pools of freshwater fish, and the native Hawaiian goose. It is home to the greatest number of endangered species within a U.S. National Park.",haleakala.jpg,Wikipedia/@KennyLouie,https://commons.wikimedia.org/wiki/File:Taking_it_all_in_(6881870120).jpg,https://www.nps.gov/hale/index.htm,"[{""id"":""state_hawaii"",""title"":""Hawaii""}]",Haleakala,park_haleakala,1263558,false,POINT(-156.17 20.72)
323431.38,1308.9,19.38,-155.2,1916-08-01,-1685732400,"This park on the Big Island protects the Kīlauea and Mauna Loa volcanoes, two of the world's most active geological features. Diverse ecosystems range from tropical forests at sea level to barren lava beds at more than 13,000 feet (4,000 m).",hawaii-volcanoes.jpg,NPS,https://www.nps.gov,https://www.nps.gov/havo/index.htm,"[{""id"":""state_hawaii"",""title"":""Hawaii""}]",Hawaii Volcanoes,park_hawaii-volcanoes,1887580,true,POINT(-155.2 19.38)
5549.10,22.5,34.51,-93.05,1921-03-04,-1540922400,"Hot Springs was established by act of Congress as a federal reserve on April 20, 1832. As such it is the oldest park managed by the National Park Service. Congress changed the reserve's designation to National Park on March 4, 1921 after the National Park Service was established in 1916. Hot Springs is the smallest and only National Park in an urban area and is based around natural hot springs that flow out of the low lying Ouachita Mountains. The springs provide opportunities for relaxation in an historic setting; Bathhouse Row preserves numerous examples of 19th-century architecture.",hot-springs.jpg,Wikipedia/@YinanChen,https://commons.wikimedia.org/wiki/File%3AGfp-arkansas-hot-springs-steam-from-spring.jpg,https://www.nps.gov/hosp/index.htm,"[{""id"":""state_arkansas"",""title"":""Arkansas""}]",Hot Springs,park_hot-springs,1544300,false,POINT(-93.05 34.51)
571790.11,2314.0,48.1,-88.55,1940-04-03,-938718000,"The largest island in Lake Superior is a place of isolation and wilderness. Along with its many shipwrecks, waterways, and hiking trails, the park also includes over 400 smaller islands within 4.5 miles (7.2 km) of its shores. There are only 20 mammal species on the entire island, though the relationship between its wolf and moose populations is especially unique.",isle-royale.jpg,Flickr/@rtdphotography,https://www.flickr.com/photos/rtdphotography/3047464978,https://www.nps.gov/isro/index.htm,"[{""id"":""state_michigan"",""title"":""Michigan""}]",Isle Royale,park_isle-royale,24966,false,POINT(-88.55 48.1)
790635.74,3199.6,33.79,-115.9,1994-10-31,783583200,"Covering large areas of the Colorado and Mojave Deserts and the Little San Bernardino Mountains, this desert landscape is populated by vast stands of Joshua trees. Large changes in elevation reveal various contrasting environments including bleached sand dunes, dry lakes, rugged mountains, and maze-like clusters of monzogranite monoliths.",joshua-tree.jpg,PixelBay/@nightowl,https://pixabay.com/en/users/nightowl-29/,https://www.nps.gov/jotr/index.htm,"[{""id"":""state_california"",""title"":""California""}]",Joshua Tree,park_joshua-tree,2505286,false,POINT(-115.9 33.79)
3674529.33,14870.3,58.5,-155,1980-12-02,344584800,"This park on the Alaska Peninsula protects the Valley of Ten Thousand Smokes, an ash flow formed by the 1912 eruption of Novarupta, as well as Mount Katmai. Over 2,000 grizzly bears come here each year to catch spawning salmon. Other wildlife includes caribou, wolves, moose, and wolverines.",katmai.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/,https://www.nps.gov/katm/index.htm,"[{""id"":""state_alaska"",""title"":""Alaska""}]",Katmai,park_katmai,37818,false,POINT(-155 58.5)
669983.65,2711.3,59.92,-149.65,1980-12-02,344584800,"Near Seward on the Kenai Peninsula, this park protects the Harding Icefield and at least 38 glaciers and fjords stemming from it. The only area accessible to the public by road is Exit Glacier; the rest must be viewed or reached from boat tours.",kenai-fjords.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/,https://www.nps.gov/kefj/index.htm,"[{""id"":""state_alaska"",""title"":""Alaska""}]",Kenai Fjords,park_kenai-fjords,346534,false,POINT(-149.65 59.92)
461901.20,1869.2,36.8,-118.55,1940-03-04,-941306400,"Home to several giant sequoia groves and the General Grant Tree, the world's second largest measured tree, this park also features part of the Kings River, sculptor of the dramatic granite canyon that is its namesake, and the San Joaquin River, as well as Boyden Cave.",kings-canyon.jpg,PixelBay/@tdellav,https://pixabay.com/en/users/tdellav-889026/,https://www.nps.gov/seki/index.htm,"[{""id"":""state_california"",""title"":""California""}]",Kings Canyon,park_kings-canyon,607479,false,POINT(-118.55 36.8)
1750716.16,7084.9,67.55,-159.28,1980-12-02,344584800,"Kobuk Valley protects 61 miles (98 km) of the Kobuk River and three regions of sand dunes. Created by glaciers, the Great Kobuk, Little Kobuk, and Hunt River Sand Dunes can reach 100 feet (30 m) high and 100 °F (38 °C), and they are the largest dunes in the Arctic. Twice a year, half a million caribou migrate through the dunes and across river bluffs that expose well-preserved ice age fossils.",kobuk-valley.jpg,NPS,https://www.nps.gov,https://www.nps.gov/kova/index.htm,"[{""id"":""state_alaska"",""title"":""Alaska""}]",Kobuk Valley,park_kobuk-valley,15500,false,POINT(-159.28 67.55)
2619816.49,10602.0,60.97,-153.42,1980-12-02,344584800,"The region around Lake Clark features four active volcanoes, including Mount Redoubt, as well as an abundance of rivers, glaciers, and waterfalls. Temperate rainforests, a tundra plateau, and three mountain ranges complete the landscape.",lake-clark.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/,https://www.nps.gov/lacl/index.htm,"[{""id"":""state_alaska"",""title"":""Alaska""}]",Lake Clark,park_lake-clark,21102,false,POINT(-153.42 60.97)
106589.02,431.4,40.49,-121.51,1916-08-09,-1685041200,"Lassen Peak, the largest plug dome volcano in the world, is joined by all three other types of volcanoes in this park: shield, cinder dome, and composite. Though Lassen itself last erupted in 1915, most of the rest of the park is continuously active. Numerous hydrothermal features, including fumaroles, boiling pools, and bubbling mud pots, are heated by molten rock from beneath the peak.",lassen-volcanic.jpg,PixelBay/@SteenJepsen,https://pixabay.com/en/users/SteenJepsen-1490089/,https://www.nps.gov/lavo/index.htm,"[{""id"":""state_california"",""title"":""California""}]",Lassen Volcanic,park_lassen-volcanic,536068,false,POINT(-121.51 40.49)
52830.19,213.8,37.18,-86.1,1941-07-01,-899492400,"With more than 400 miles (640 km) of passageways explored, Mammoth Cave is the world's longest known cave system. Subterranean wildlife includes eight bat species, Kentucky cave shrimp, Northern cavefish, and cave salamanders. Above ground, the park provides recreation on the Green River, 70 miles of hiking trails, and plenty of sinkholes and springs.",mammoth-cave.jpg,Wikipedia/@DanielSchwen,https://commons.wikimedia.org/wiki/File%3AMammoth_Cave_tour.jpg,https://www.nps.gov/maca/index.htm,"[{""id"":""state_kentucky"",""title"":""Kentucky""}]",Mammoth Cave,park_mammoth-cave,586514,true,POINT(-86.1 37.18)
52485.17,212.4,37.18,-108.49,1906-06-29,-2004202800,"This area constitutes over 4,000 archaeological sites of the Ancestral Puebloan people, who lived here and elsewhere in the Four Corners region for at least 700 years. Cliff dwellings built in the 12th and 13th centuries include Cliff Palace, which has 150 rooms and 23 kivas, and the Balcony House, with its many passages and tunnels.",mesa-verde.jpg,PixelBay/@kaylee,https://pixabay.com/en/users/kaylee-393151/,https://www.nps.gov/meve/index.htm,"[{""id"":""state_colorado"",""title"":""Colorado""}]",Mesa Verde,park_mesa-verde,583527,true,POINT(-108.49 37.18)
236381.64,956.6,46.85,-121.75,1899-03-02,-2235319200,"Mount Rainier, an active stratovolcano, is the most prominent peak in the Cascades and is covered by 26 named glaciers including Carbon Glacier and Emmons Glacier, the largest in the contiguous United States. The mountain is popular for climbing, and more than half of the park is covered by subalpine and alpine forests and meadows seasonally in bloom with wildflowers. Paradise on the south slope is the snowiest place on Earth where snowfall is measured regularly. The Longmire visitor center is the start of the Wonderland Trail, which encircles the mountain.",mount-rainier.jpg,PixelBay/@12019,https://pixabay.com/en/users/12019-12019/,https://www.nps.gov/mora/index.htm,"[{""id"":""state_washington"",""title"":""Washington""}]",Mount Rainier,park_mount-rainier,1356913,false,POINT(-121.75 46.85)
504780.94,2042.8,48.7,-121.2,1968-10-02,-39380400,"This complex encompasses two units of the National Park itself as well as the Ross Lake and Lake Chelan National Recreation Areas. The highly glaciated mountains are spectacular examples of Cascade geology. Popular hiking and climbing areas include Cascade Pass, Mount Shuksan, Mount Triumph, and Eldorado Peak.",north-cascades.jpg,PixelBay/@carolynhasemail,https://pixabay.com/en/users/carolynhasemail-2321451/,https://www.nps.gov/noca/index.htm,"[{""id"":""state_washington"",""title"":""Washington""}]",North Cascades,park_north-cascades,28646,false,POINT(-121.2 48.7)
922650.10,3733.8,47.97,-123.5,1938-06-29,-994359600,"Situated on the Olympic Peninsula, this park includes a wide range of ecosystems from Pacific shoreline to temperate rainforests to the alpine slopes of the Olympic Mountains, the tallest of which is Mount Olympus. The Hoh Rainforest and Quinault Rainforest are the wettest area in the contiguous United States, with the Hoh receiving an average of almost 12 ft (3.7 m) of rain every year.",olympic.jpg,PixelBay/@RogerMosley,https://pixabay.com/en/users/RogerMosley-4311868/,https://www.nps.gov/olym/index.htm,"[{""id"":""state_washington"",""title"":""Washington""}]",Olympic,park_olympic,3390221,true,POINT(-123.5 47.97)
221415.77,896.0,35.07,-109.78,1962-12-09,-222890400,This portion of the Chinle Formation has a large concentration of 225-million-year-old petrified wood. The surrounding Painted Desert features eroded cliffs of red-hued volcanic rock called bentonite. Dinosaur fossils and over 350 Native American sites are also protected in this park.,petrified-forest.jpg,PixelBay/@jillmackie,https://pixabay.com/en/users/jillmackie-176435/,https://www.nps.gov/pefo/index.htm,"[{""id"":""state_arizona"",""title"":""Arizona""}]",Petrified Forest,park_petrified-forest,643274,false,POINT(-109.78 35.07)
26685.73,108.0,36.48,-121.16,2013-01-10,1357797600,"Named for the eroded leftovers of a portion of an extinct volcano, the park's massive black and gold monoliths of andesite and rhyolite are a popular destination for rock climbers. Hikers have access to trails crossing the Coast Range wilderness. The park is home to the endangered California condor (Gymnogyps californianus) and one of the few locations in the world where these extremely rare birds can be seen in the wild. Pinnacles also supports a dense population of prairie falcons, and more than 13 species of bat which populate its talus caves.",pinnacles.jpg,NPS,https://www.nps.gov,https://www.nps.gov/pinn/index.htm,"[{""id"":""state_california"",""title"":""California""}]",Pinnacles,park_pinnacles,215555,false,POINT(-121.16 36.48)
138999.37,562.5,41.3,-124,1968-10-02,-39380400,"This park and the co-managed state parks protect almost half of all remaining coastal redwoods, the tallest trees on earth. There are three large river systems in this very seismically active area, and 37 miles (60 km) of protected coastline reveal tide pools and seastacks. The prairie, estuary, coast, river, and forest ecosystems contain a wide variety of animal and plant species.",redwood.jpg,PixelBay/@12019,https://pixabay.com/en/users/12019-12019/,https://www.nps.gov/redw/index.htm,"[{""id"":""state_california"",""title"":""California""}]",Redwood,park_redwood,536297,true,POINT(-124 41.3)
265795.20,1075.6,40.4,-105.58,1915-01-26,-1733508000,"Bisected north to south by the Continental Divide, this portion of the Rockies has ecosystems varying from over 150 riparian lakes to montane and subalpine forests to treeless alpine tundra. Wildlife including mule deer, bighorn sheep, black bears, and cougars inhabit its igneous mountains and glacial valleys. Longs Peak, a classic Colorado fourteener, and the scenic Bear Lake are popular destinations, as well as the historic Trail Ridge Road, which reaches an elevation of more than 12,000 feet (3,700 m).",rocky-mountain.jpg,@kevinnayar,https://kevinnayar.github.io/,https://www.nps.gov/romo/index.htm,"[{""id"":""state_colorado"",""title"":""Colorado""}]",Rocky Mountain,park_rocky-mountain,4517585,false,POINT(-105.58 40.4)
91715.72,371.2,32.25,-110.5,1994-10-14,782110800,"Split into the separate Rincon Mountain and Tucson Mountain districts, this park is evidence that the dry Sonoran Desert is still home to a great variety of life spanning six biotic communities. Beyond the namesake giant saguaro cacti, there are barrel cacti, chollas, and prickly pears, as well as lesser long-nosed bats, spotted owls, and javelinas.",saguaro.jpg,PixelBay/@dehenderson,https://pixabay.com/en/users/dehenderson-6454660/,https://www.nps.gov/sagu/index.htm,"[{""id"":""state_arizona"",""title"":""Arizona""}]",Saguaro,park_saguaro,820426,false,POINT(-110.5 32.25)
404062.63,1635.2,36.43,-118.68,1890-09-25,-2501434800,"This park protects the Giant Forest, which boasts some of the world's largest trees, the General Sherman being the largest measured tree in the park. Other features include over 240 caves, a long segment of the Sierra Nevada including the tallest mountain in the contiguous United States, and Moro Rock, a large granite dome.",sequoia.jpg,PixelBay/@tripastute,https://pixabay.com/en/users/tripastute-5640805/,https://www.nps.gov/seki/index.htm,"[{""id"":""state_california"",""title"":""California""}]",Sequoia,park_sequoia,1254688,false,POINT(-118.68 36.43)
